Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Return Rate,Month/Year,Discount Bucket 
1/20/2020,Iron Supplement,Mineral,155.00,$41.81,"$6,480.55",20.00%,0.00,UK,iHerb,0.00%,Jan 2020,15–20%
1/20/2020,Electrolyte Powder,Hydration,147.00,$29.19,"$4,290.93",14.00%,2.00,USA,Amazon,1.36%,Jan 2020,10–15%
1/27/2020,Whey Protein,Protein,137.00,$26.73,"$3,662.01",1.00%,0.00,UK,Amazon,0.00%,Jan 2020,0–5%
1/27/2020,Vitamin C,Vitamin,163.00,$35.90,"$5,851.70",7.00%,4.00,UK,iHerb,2.45%,Jan 2020,5–10%
1/27/2020,Fish Oil,Omega,141.00,$53.64,"$7,563.24",21.00%,0.00,Canada,iHerb,0.00%,Jan 2020,20–25%
1/27/2020,Multivitamin,Vitamin,162.00,$34.15,"$5,532.30",3.00%,0.00,UK,iHerb,0.00%,Jan 2020,0–5%
1/27/2020,Pre-Workout,Performance,158.00,$31.84,"$5,030.72",18.00%,2.00,USA,iHerb,1.27%,Jan 2020,15–20%
1/27/2020,BCAA,Amino Acid,136.00,$16.77,"$2,280.72",19.00%,2.00,USA,iHerb,1.47%,Jan 2020,15–20%
1/27/2020,Creatine,Performance,180.00,$12.85,"$2,313.00",7.00%,1.00,USA,Walmart,0.56%,Jan 2020,5–10%
1/27/2020,Zinc,Mineral,140.00,$47.97,"$6,715.80",11.00%,2.00,UK,iHerb,1.43%,Jan 2020,10–15%
1/27/2020,Collagen Peptides,Protein,126.00,$11.68,"$1,471.68",2.00%,3.00,Canada,Walmart,2.38%,Jan 2020,0–5%
1/27/2020,Magnesium,Mineral,135.00,$30.55,"$4,124.25",9.00%,3.00,USA,Amazon,2.22%,Jan 2020,5–10%
1/27/2020,Ashwagandha,Herbal,174.00,$30.94,"$5,383.56",7.00%,2.00,Canada,Amazon,1.15%,Jan 2020,5–10%
1/27/2020,Melatonin,Sleep Aid,156.00,$38.27,"$5,970.12",12.00%,4.00,UK,iHerb,2.56%,Jan 2020,10–15%
1/27/2020,Biotin,Vitamin,154.00,$15.70,"$2,417.80",4.00%,1.00,UK,Walmart,0.65%,Jan 2020,0–5%
1/27/2020,Green Tea Extract,Fat Burner,141.00,$38.06,"$5,366.46",13.00%,0.00,UK,iHerb,0.00%,Jan 2020,10–15%
1/27/2020,Iron Supplement,Mineral,165.00,$13.38,"$2,207.70",18.00%,2.00,USA,iHerb,1.21%,Jan 2020,15–20%
1/27/2020,Electrolyte Powder,Hydration,129.00,$34.23,"$4,415.67",4.00%,3.00,Canada,Amazon,2.33%,Jan 2020,0–5%
2/3/2020,Whey Protein,Protein,165.00,$33.11,"$5,463.15",10.00%,2.00,Canada,iHerb,1.21%,Feb 2020,5–10%
2/3/2020,Vitamin C,Vitamin,152.00,$35.63,"$5,415.76",20.00%,1.00,UK,Amazon,0.66%,Feb 2020,15–20%
2/3/2020,Fish Oil,Omega,138.00,$18.24,"$2,517.12",8.00%,2.00,UK,Amazon,1.45%,Feb 2020,5–10%
2/3/2020,Multivitamin,Vitamin,151.00,$53.89,"$8,137.39",22.00%,3.00,UK,Amazon,1.99%,Feb 2020,20–25%
2/3/2020,Pre-Workout,Performance,140.00,$59.25,"$8,295.00",19.00%,0.00,UK,Amazon,0.00%,Feb 2020,15–20%
2/3/2020,BCAA,Amino Acid,126.00,$55.46,"$6,987.96",13.00%,1.00,USA,iHerb,0.79%,Feb 2020,10–15%
2/3/2020,Creatine,Performance,132.00,$51.11,"$6,746.52",10.00%,2.00,Canada,Amazon,1.52%,Feb 2020,5–10%
2/3/2020,Zinc,Mineral,184.00,$36.17,"$6,655.28",7.00%,3.00,Canada,Amazon,1.63%,Feb 2020,5–10%
2/3/2020,Collagen Peptides,Protein,153.00,$49.90,"$7,634.70",10.00%,3.00,UK,Amazon,1.96%,Feb 2020,5–10%
2/3/2020,Magnesium,Mineral,151.00,$44.79,"$6,763.29",20.00%,1.00,Canada,Amazon,0.66%,Feb 2020,15–20%
2/3/2020,Ashwagandha,Herbal,135.00,$19.21,"$2,593.35",22.00%,2.00,UK,Amazon,1.48%,Feb 2020,20–25%
2/3/2020,Melatonin,Sleep Aid,135.00,$40.76,"$5,502.60",2.00%,3.00,Canada,iHerb,2.22%,Feb 2020,0–5%
2/3/2020,Biotin,Vitamin,162.00,$58.36,"$9,454.32",10.00%,5.00,UK,Amazon,3.09%,Feb 2020,5–10%
2/3/2020,Green Tea Extract,Fat Burner,156.00,$18.30,"$2,854.80",22.00%,1.00,UK,iHerb,0.64%,Feb 2020,20–25%
2/3/2020,Iron Supplement,Mineral,136.00,$37.99,"$5,166.64",13.00%,2.00,USA,Amazon,1.47%,Feb 2020,10–15%
2/3/2020,Electrolyte Powder,Hydration,168.00,$46.57,"$7,823.76",5.00%,3.00,Canada,iHerb,1.79%,Feb 2020,0–5%
2/10/2020,Whey Protein,Protein,163.00,$45.51,"$7,418.13",8.00%,1.00,UK,iHerb,0.61%,Feb 2020,5–10%
2/10/2020,Vitamin C,Vitamin,163.00,$27.89,"$4,546.07",12.00%,3.00,UK,Amazon,1.84%,Feb 2020,10–15%
2/10/2020,Fish Oil,Omega,144.00,$45.60,"$6,566.40",21.00%,0.00,Canada,Amazon,0.00%,Feb 2020,20–25%
2/10/2020,Multivitamin,Vitamin,140.00,$27.40,"$3,836.00",11.00%,2.00,UK,Walmart,1.43%,Feb 2020,10–15%
2/10/2020,Pre-Workout,Performance,155.00,$27.62,"$4,281.10",21.00%,1.00,USA,iHerb,0.65%,Feb 2020,20–25%
2/10/2020,BCAA,Amino Acid,134.00,$26.26,"$3,518.84",17.00%,0.00,UK,Amazon,0.00%,Feb 2020,15–20%
2/10/2020,Creatine,Performance,137.00,$21.36,"$2,926.32",21.00%,1.00,Canada,iHerb,0.73%,Feb 2020,20–25%
2/10/2020,Zinc,Mineral,155.00,$35.63,"$5,522.65",8.00%,1.00,UK,Amazon,0.65%,Feb 2020,5–10%
2/10/2020,Collagen Peptides,Protein,155.00,$53.56,"$8,301.80",19.00%,2.00,UK,Walmart,1.29%,Feb 2020,15–20%
2/10/2020,Magnesium,Mineral,156.00,$55.36,"$8,636.16",17.00%,2.00,UK,iHerb,1.28%,Feb 2020,15–20%
2/10/2020,Ashwagandha,Herbal,132.00,$33.02,"$4,358.64",22.00%,1.00,USA,iHerb,0.76%,Feb 2020,20–25%
2/10/2020,Melatonin,Sleep Aid,146.00,$15.54,"$2,268.84",11.00%,0.00,Canada,Amazon,0.00%,Feb 2020,10–15%
2/10/2020,Biotin,Vitamin,142.00,$24.61,"$3,494.62",23.00%,2.00,UK,iHerb,1.41%,Feb 2020,20–25%
2/10/2020,Green Tea Extract,Fat Burner,162.00,$58.14,"$9,418.68",18.00%,1.00,UK,Walmart,0.62%,Feb 2020,15–20%
2/10/2020,Iron Supplement,Mineral,163.00,$53.64,"$8,743.32",3.00%,2.00,USA,Walmart,1.23%,Feb 2020,0–5%
2/10/2020,Electrolyte Powder,Hydration,151.00,$22.09,"$3,335.59",0.00%,1.00,USA,Amazon,0.66%,Feb 2020,0–5%
2/17/2020,Whey Protein,Protein,143.00,$24.86,"$3,554.98",7.00%,2.00,Canada,iHerb,1.40%,Feb 2020,5–10%
2/17/2020,Vitamin C,Vitamin,165.00,$39.66,"$6,543.90",22.00%,0.00,Canada,iHerb,0.00%,Feb 2020,20–25%
2/17/2020,Fish Oil,Omega,129.00,$49.73,"$6,415.17",1.00%,1.00,Canada,Walmart,0.78%,Feb 2020,0–5%
2/17/2020,Multivitamin,Vitamin,151.00,$51.57,"$7,787.07",15.00%,0.00,USA,Amazon,0.00%,Feb 2020,10–15%
2/17/2020,Pre-Workout,Performance,131.00,$43.46,"$5,693.26",21.00%,3.00,USA,Walmart,2.29%,Feb 2020,20–25%
2/17/2020,BCAA,Amino Acid,152.00,$31.52,"$4,791.04",8.00%,1.00,UK,Amazon,0.66%,Feb 2020,5–10%
2/17/2020,Creatine,Performance,160.00,$54.63,"$8,740.80",11.00%,2.00,UK,Amazon,1.25%,Feb 2020,10–15%
2/17/2020,Zinc,Mineral,155.00,$45.13,"$6,995.15",6.00%,1.00,USA,iHerb,0.65%,Feb 2020,5–10%
2/17/2020,Collagen Peptides,Protein,132.00,$34.38,"$4,538.16",16.00%,3.00,Canada,Walmart,2.27%,Feb 2020,15–20%
2/17/2020,Magnesium,Mineral,154.00,$35.31,"$5,437.74",16.00%,0.00,USA,Amazon,0.00%,Feb 2020,15–20%
2/17/2020,Ashwagandha,Herbal,141.00,$33.62,"$4,740.42",1.00%,0.00,USA,iHerb,0.00%,Feb 2020,0–5%
2/17/2020,Melatonin,Sleep Aid,144.00,$19.80,"$2,851.20",15.00%,1.00,USA,iHerb,0.69%,Feb 2020,10–15%
2/17/2020,Biotin,Vitamin,139.00,$10.28,"$1,428.92",0.00%,0.00,USA,Walmart,0.00%,Feb 2020,0–5%
2/17/2020,Green Tea Extract,Fat Burner,117.00,$26.94,"$3,151.98",20.00%,1.00,Canada,Amazon,0.85%,Feb 2020,15–20%
2/17/2020,Iron Supplement,Mineral,150.00,$56.59,"$8,488.50",10.00%,0.00,UK,Amazon,0.00%,Feb 2020,5–10%
2/17/2020,Electrolyte Powder,Hydration,154.00,$27.26,"$4,198.04",13.00%,3.00,Canada,Amazon,1.95%,Feb 2020,10–15%
2/24/2020,Whey Protein,Protein,150.00,$59.64,"$8,946.00",3.00%,1.00,UK,Walmart,0.67%,Feb 2020,0–5%
2/24/2020,Vitamin C,Vitamin,146.00,$30.55,"$4,460.30",23.00%,2.00,UK,iHerb,1.37%,Feb 2020,20–25%
2/24/2020,Fish Oil,Omega,154.00,$51.19,"$7,883.26",24.00%,3.00,USA,Amazon,1.95%,Feb 2020,20–25%
2/24/2020,Multivitamin,Vitamin,123.00,$12.98,"$1,596.54",15.00%,2.00,USA,Walmart,1.63%,Feb 2020,10–15%
2/24/2020,Pre-Workout,Performance,133.00,$32.81,"$4,363.73",9.00%,0.00,Canada,Amazon,0.00%,Feb 2020,5–10%
2/24/2020,BCAA,Amino Acid,147.00,$13.55,"$1,991.85",2.00%,1.00,UK,Amazon,0.68%,Feb 2020,0–5%
2/24/2020,Creatine,Performance,175.00,$43.93,"$7,687.75",9.00%,2.00,UK,Amazon,1.14%,Feb 2020,5–10%
2/24/2020,Zinc,Mineral,170.00,$53.68,"$9,125.60",18.00%,0.00,UK,iHerb,0.00%,Feb 2020,15–20%
2/24/2020,Collagen Peptides,Protein,169.00,$36.70,"$6,202.30",4.00%,0.00,Canada,iHerb,0.00%,Feb 2020,0–5%
2/24/2020,Magnesium,Mineral,147.00,$34.30,"$5,042.10",14.00%,0.00,UK,iHerb,0.00%,Feb 2020,10–15%
2/24/2020,Ashwagandha,Herbal,133.00,$27.16,"$3,612.28",18.00%,2.00,UK,iHerb,1.50%,Feb 2020,15–20%
2/24/2020,Melatonin,Sleep Aid,164.00,$31.50,"$5,166.00",17.00%,1.00,Canada,iHerb,0.61%,Feb 2020,15–20%
2/24/2020,Biotin,Vitamin,143.00,$32.32,"$4,621.76",20.00%,2.00,USA,iHerb,1.40%,Feb 2020,15–20%
2/24/2020,Green Tea Extract,Fat Burner,147.00,$39.11,"$5,749.17",9.00%,2.00,UK,iHerb,1.36%,Feb 2020,5–10%
2/24/2020,Iron Supplement,Mineral,158.00,$28.73,"$4,539.34",4.00%,1.00,UK,Amazon,0.63%,Feb 2020,0–5%
2/24/2020,Electrolyte Powder,Hydration,135.00,$27.29,"$3,684.15",4.00%,0.00,Canada,Amazon,0.00%,Feb 2020,0–5%
3/2/2020,Whey Protein,Protein,155.00,$27.03,"$4,189.65",2.00%,1.00,Canada,Amazon,0.65%,Mar 2020,0–5%
3/2/2020,Vitamin C,Vitamin,143.00,$40.29,"$5,761.47",9.00%,0.00,Canada,iHerb,0.00%,Mar 2020,5–10%
3/2/2020,Fish Oil,Omega,157.00,$34.28,"$5,381.96",1.00%,1.00,Canada,iHerb,0.64%,Mar 2020,0–5%
3/2/2020,Multivitamin,Vitamin,184.00,$11.95,"$2,198.80",1.00%,1.00,UK,iHerb,0.54%,Mar 2020,0–5%
3/2/2020,Pre-Workout,Performance,136.00,$47.81,"$6,502.16",11.00%,1.00,USA,Walmart,0.74%,Mar 2020,10–15%
3/2/2020,BCAA,Amino Acid,169.00,$57.80,"$9,768.20",8.00%,3.00,Canada,Amazon,1.78%,Mar 2020,5–10%
3/2/2020,Creatine,Performance,154.00,$59.20,"$9,116.80",7.00%,4.00,Canada,iHerb,2.60%,Mar 2020,5–10%
3/2/2020,Zinc,Mineral,146.00,$27.02,"$3,944.92",14.00%,0.00,UK,Amazon,0.00%,Mar 2020,10–15%
3/2/2020,Collagen Peptides,Protein,152.00,$48.10,"$7,311.20",21.00%,1.00,UK,Amazon,0.66%,Mar 2020,20–25%
3/2/2020,Magnesium,Mineral,143.00,$19.73,"$2,821.39",1.00%,1.00,USA,Amazon,0.70%,Mar 2020,0–5%
3/2/2020,Ashwagandha,Herbal,152.00,$39.02,"$5,931.04",3.00%,1.00,USA,Amazon,0.66%,Mar 2020,0–5%
3/2/2020,Melatonin,Sleep Aid,154.00,$30.09,"$4,633.86",25.00%,3.00,Canada,Amazon,1.95%,Mar 2020,20–25%
3/2/2020,Biotin,Vitamin,154.00,$41.03,"$6,318.62",5.00%,1.00,UK,Amazon,0.65%,Mar 2020,0–5%
3/2/2020,Green Tea Extract,Fat Burner,151.00,$58.20,"$8,788.20",23.00%,2.00,USA,Walmart,1.32%,Mar 2020,20–25%
3/2/2020,Iron Supplement,Mineral,151.00,$16.53,"$2,496.03",20.00%,0.00,UK,Amazon,0.00%,Mar 2020,15–20%
3/2/2020,Electrolyte Powder,Hydration,161.00,$53.85,"$8,669.85",24.00%,0.00,USA,Amazon,0.00%,Mar 2020,20–25%
3/9/2020,Whey Protein,Protein,149.00,$34.17,"$5,091.33",22.00%,2.00,USA,Walmart,1.34%,Mar 2020,20–25%
3/9/2020,Vitamin C,Vitamin,145.00,$20.16,"$2,923.20",19.00%,1.00,Canada,iHerb,0.69%,Mar 2020,15–20%
3/9/2020,Fish Oil,Omega,150.00,$38.86,"$5,829.00",22.00%,4.00,UK,Walmart,2.67%,Mar 2020,20–25%
3/9/2020,Multivitamin,Vitamin,147.00,$48.23,"$7,089.81",14.00%,4.00,UK,Walmart,2.72%,Mar 2020,10–15%
3/9/2020,Pre-Workout,Performance,138.00,$52.70,"$7,272.60",11.00%,3.00,Canada,Amazon,2.17%,Mar 2020,10–15%
3/9/2020,BCAA,Amino Acid,168.00,$54.17,"$9,100.56",11.00%,2.00,Canada,Amazon,1.19%,Mar 2020,10–15%
3/9/2020,Creatine,Performance,154.00,$10.96,"$1,687.84",12.00%,2.00,USA,Amazon,1.30%,Mar 2020,10–15%
3/9/2020,Zinc,Mineral,158.00,$16.72,"$2,641.76",7.00%,1.00,USA,iHerb,0.63%,Mar 2020,5–10%
3/9/2020,Collagen Peptides,Protein,162.00,$20.54,"$3,327.48",24.00%,0.00,UK,Amazon,0.00%,Mar 2020,20–25%
3/9/2020,Magnesium,Mineral,163.00,$10.72,"$1,747.36",18.00%,3.00,UK,iHerb,1.84%,Mar 2020,15–20%
3/9/2020,Ashwagandha,Herbal,159.00,$47.67,"$7,579.53",19.00%,2.00,Canada,iHerb,1.26%,Mar 2020,15–20%
3/9/2020,Melatonin,Sleep Aid,160.00,$40.68,"$6,508.80",2.00%,1.00,UK,Walmart,0.63%,Mar 2020,0–5%
3/9/2020,Biotin,Vitamin,128.00,$30.36,"$3,886.08",2.00%,1.00,USA,Walmart,0.78%,Mar 2020,0–5%
3/9/2020,Green Tea Extract,Fat Burner,132.00,$57.38,"$7,574.16",2.00%,3.00,USA,Amazon,2.27%,Mar 2020,0–5%
3/9/2020,Iron Supplement,Mineral,151.00,$13.84,"$2,089.84",13.00%,2.00,Canada,iHerb,1.32%,Mar 2020,10–15%
3/9/2020,Electrolyte Powder,Hydration,158.00,$13.65,"$2,156.70",10.00%,1.00,Canada,Amazon,0.63%,Mar 2020,5–10%
3/16/2020,Whey Protein,Protein,140.00,$50.17,"$7,023.80",23.00%,1.00,Canada,iHerb,0.71%,Mar 2020,20–25%
3/16/2020,Vitamin C,Vitamin,169.00,$33.82,"$5,715.58",6.00%,2.00,Canada,Walmart,1.18%,Mar 2020,5–10%
3/16/2020,Fish Oil,Omega,145.00,$16.15,"$2,341.75",22.00%,1.00,Canada,Amazon,0.69%,Mar 2020,20–25%
3/16/2020,Multivitamin,Vitamin,148.00,$41.24,"$6,103.52",2.00%,2.00,UK,Amazon,1.35%,Mar 2020,0–5%
3/16/2020,Pre-Workout,Performance,140.00,$51.13,"$7,158.20",20.00%,1.00,USA,Walmart,0.71%,Mar 2020,15–20%
3/16/2020,BCAA,Amino Acid,151.00,$48.77,"$7,364.27",7.00%,1.00,UK,Amazon,0.66%,Mar 2020,5–10%
3/16/2020,Creatine,Performance,142.00,$41.48,"$5,890.16",1.00%,2.00,Canada,Amazon,1.41%,Mar 2020,0–5%
3/16/2020,Zinc,Mineral,143.00,$35.56,"$5,085.08",1.00%,1.00,USA,Amazon,0.70%,Mar 2020,0–5%
3/16/2020,Collagen Peptides,Protein,158.00,$51.97,"$8,211.26",0.00%,1.00,Canada,iHerb,0.63%,Mar 2020,0–5%
3/16/2020,Magnesium,Mineral,159.00,$15.09,"$2,399.31",9.00%,1.00,Canada,iHerb,0.63%,Mar 2020,5–10%
3/16/2020,Ashwagandha,Herbal,164.00,$49.45,"$8,109.80",22.00%,1.00,Canada,iHerb,0.61%,Mar 2020,20–25%
3/16/2020,Melatonin,Sleep Aid,170.00,$58.20,"$9,894.00",2.00%,2.00,Canada,Amazon,1.18%,Mar 2020,0–5%
3/16/2020,Biotin,Vitamin,150.00,$41.64,"$6,246.00",18.00%,0.00,UK,iHerb,0.00%,Mar 2020,15–20%
3/16/2020,Green Tea Extract,Fat Burner,136.00,$43.32,"$5,891.52",24.00%,2.00,UK,Walmart,1.47%,Mar 2020,20–25%
3/16/2020,Iron Supplement,Mineral,178.00,$24.90,"$4,432.20",3.00%,3.00,UK,iHerb,1.69%,Mar 2020,0–5%
3/16/2020,Electrolyte Powder,Hydration,155.00,$28.00,"$4,340.00",24.00%,1.00,USA,Amazon,0.65%,Mar 2020,20–25%
3/23/2020,Whey Protein,Protein,148.00,$20.44,"$3,025.12",9.00%,1.00,UK,Walmart,0.68%,Mar 2020,5–10%
3/23/2020,Vitamin C,Vitamin,147.00,$52.52,"$7,720.44",5.00%,2.00,Canada,Amazon,1.36%,Mar 2020,0–5%
3/23/2020,Fish Oil,Omega,149.00,$20.79,"$3,097.71",17.00%,2.00,Canada,iHerb,1.34%,Mar 2020,15–20%
3/23/2020,Multivitamin,Vitamin,142.00,$42.58,"$6,046.36",18.00%,1.00,Canada,Amazon,0.70%,Mar 2020,15–20%
3/23/2020,Pre-Workout,Performance,155.00,$45.66,"$7,077.30",5.00%,3.00,Canada,Walmart,1.94%,Mar 2020,0–5%
3/23/2020,BCAA,Amino Acid,142.00,$12.90,"$1,831.80",3.00%,1.00,UK,Walmart,0.70%,Mar 2020,0–5%
3/23/2020,Creatine,Performance,141.00,$10.73,"$1,512.93",9.00%,1.00,UK,iHerb,0.71%,Mar 2020,5–10%
3/23/2020,Zinc,Mineral,147.00,$30.21,"$4,440.87",13.00%,2.00,UK,Amazon,1.36%,Mar 2020,10–15%
3/23/2020,Collagen Peptides,Protein,156.00,$48.70,"$7,597.20",19.00%,1.00,Canada,Amazon,0.64%,Mar 2020,15–20%
3/23/2020,Magnesium,Mineral,162.00,$23.28,"$3,771.36",0.00%,1.00,UK,iHerb,0.62%,Mar 2020,0–5%
3/23/2020,Ashwagandha,Herbal,160.00,$27.40,"$4,384.00",9.00%,0.00,USA,Amazon,0.00%,Mar 2020,5–10%
3/23/2020,Melatonin,Sleep Aid,143.00,$58.71,"$8,395.53",21.00%,0.00,Canada,iHerb,0.00%,Mar 2020,20–25%
3/23/2020,Biotin,Vitamin,168.00,$49.02,"$8,235.36",11.00%,1.00,USA,Amazon,0.60%,Mar 2020,10–15%
3/23/2020,Green Tea Extract,Fat Burner,143.00,$21.41,"$3,061.63",6.00%,1.00,Canada,Amazon,0.70%,Mar 2020,5–10%
3/23/2020,Iron Supplement,Mineral,159.00,$12.89,"$2,049.51",24.00%,4.00,USA,Amazon,2.52%,Mar 2020,20–25%
3/23/2020,Electrolyte Powder,Hydration,151.00,$13.78,"$2,080.78",9.00%,1.00,UK,Amazon,0.66%,Mar 2020,5–10%
3/30/2020,Whey Protein,Protein,138.00,$41.12,"$5,674.56",20.00%,1.00,Canada,iHerb,0.72%,Mar 2020,15–20%
3/30/2020,Vitamin C,Vitamin,135.00,$41.80,"$5,643.00",10.00%,2.00,Canada,Amazon,1.48%,Mar 2020,5–10%
3/30/2020,Fish Oil,Omega,141.00,$55.87,"$7,877.67",7.00%,1.00,USA,Amazon,0.71%,Mar 2020,5–10%
3/30/2020,Multivitamin,Vitamin,168.00,$13.11,"$2,202.48",4.00%,0.00,UK,Amazon,0.00%,Mar 2020,0–5%
